"filename", "language", "Svelte", "TypeScript", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/hover-card/hover-card-content.svelte", "Svelte", 27, 0, 0, 0, 0, 0, 3, 30
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/hover-card/hover-card-trigger.svelte", "Svelte", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/hover-card/index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/input/index.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 2, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/input/input.svelte", "Svelte", 47, 0, 0, 0, 0, 0, 5, 52
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/label/index.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 2, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/label/label.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/popover/index.ts", "TypeScript", 0, 15, 0, 0, 0, 1, 2, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/popover/popover-content.svelte", "Svelte", 27, 0, 0, 0, 0, 0, 3, 30
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/popover/popover-trigger.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/separator/index.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 2, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/separator/separator.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/index.ts", "TypeScript", 0, 26, 0, 0, 0, 1, 2, 29
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-body.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-caption.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-cell.svelte", "Svelte", 21, 0, 0, 0, 0, 0, 3, 24
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-footer.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-head.svelte", "Svelte", 21, 0, 0, 0, 0, 0, 3, 24
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-header.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-row.svelte", "Svelte", 21, 0, 0, 0, 0, 0, 3, 24
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table.svelte", "Svelte", 20, 0, 0, 0, 0, 0, 3, 23
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/textarea/index.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 2, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/textarea/textarea.svelte", "Svelte", 20, 0, 0, 0, 0, 0, 3, 23
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/tooltip/index.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 3, 22
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/tooltip/tooltip-content.svelte", "Svelte", 45, 0, 0, 0, 0, 0, 3, 48
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/tooltip/tooltip-trigger.svelte", "Svelte", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/utils.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/index.ts", "TypeScript", 0, 35, 0, 0, 0, 1, 10, 46
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/server/prisma.ts", "TypeScript", 0, 9, 0, 0, 0, 4, 5, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/stores/stores.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 4, 34
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/navConst.ts", "TypeScript", 0, 21, 0, 0, 0, 6, 3, 30
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/serverHelp.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 4, 11
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/types/index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 6, 28
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/zod/auth.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 6, 47
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/zod/index.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 2, 13
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/+layout.server.ts", "TypeScript", 0, 15, 0, 0, 0, 1, 4, 20
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/+page.server.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/+page.svelte", "Svelte", 99, 0, 0, 0, 0, 3, 10, 112
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newhall/+page.server.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 12, 131
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newhall/+page.svelte", "Svelte", 106, 0, 0, 0, 0, 8, 10, 124
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newpart/+page.server.ts", "TypeScript", 0, 172, 0, 0, 0, 0, 9, 181
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newpart/+page.svelte", "Svelte", 154, 0, 0, 0, 0, 8, 15, 177
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newprocess/+page.server.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 11, 170
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newprocess/+page.svelte", "Svelte", 136, 0, 0, 0, 0, 10, 14, 160
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newproject/+page.server.ts", "TypeScript", 0, 165, 0, 0, 0, 0, 9, 174
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newproject/+page.svelte", "Svelte", 128, 0, 0, 0, 0, 10, 14, 152
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newscrapcode/+page.server.ts", "TypeScript", 0, 179, 0, 0, 0, 0, 13, 192
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newscrapcode/+page.svelte", "Svelte", 152, 0, 0, 0, 0, 10, 13, 175
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/users/+page.server.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 5, 57
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/users/+page.svelte", "Svelte", 118, 0, 0, 0, 0, 0, 14, 132
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/+page.svelte", "Svelte", 14, 0, 0, 0, 0, 0, 5, 19
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/createScrap/+page.server.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 12, 131
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/createScrap/+page.svelte", "Svelte", 186, 0, 0, 0, 0, 15, 18, 219
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/login/+page.svelte", "Svelte", 135, 0, 0, 0, 0, 30, 12, 177
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/register/+page.svelte", "Svelte", 159, 0, 0, 0, 0, 3, 8, 170
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/report/+page.svelte", "Svelte", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/search/+page.server.ts", "TypeScript", 0, 97, 0, 0, 0, 2, 12, 111
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/search/+page.svelte", "Svelte", 32, 0, 0, 0, 0, 5, 7, 44
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/user/profile/+page.svelte", "Svelte", 43, 0, 0, 0, 0, 0, 5, 48
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/+error.svelte", "Svelte", 24, 0, 0, 0, 0, 0, 4, 28
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/+layout.server.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 4, 15
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/+layout.svelte", "Svelte", 104, 0, 0, 0, 0, 9, 13, 126
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/api/export/scrap/+server.ts", "TypeScript", 0, 87, 0, 0, 0, 3, 8, 98
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/styles/app.css", "PostCSS", 0, 0, 0, 0, 28, 0, 7, 35
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/styles/shadCn.css", "PostCSS", 0, 0, 0, 0, 175, 5, 8, 188
"Total", "-", 4248, 1873, 11, 2, 203, 310, 739, 7386
